Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Belfast|Belfast|Europe|9|United Kingdom of Great Britain and Northern Ireland|"54°34'59.9"" N"|"5°55'60.0"" W"|2|Oceanic climate|80|GK|||13.1|19.4|7.6|930|
Belgaum|Belgaum|South Asia|768|India|"15°52'0.1"" N"|"74°30'0.0"" E"|2|Tropical savanna climate|81|GL|||29.6|36|25.4|947|
Belgrade|Belgrade|Europe|90|Serbia|"44°49'7.0"" N"|"20°28'5.2"" E"|2|Humid subtropical / humid continental (mild summer, wet all year) climate|82|GM|||17.4|28.7|4.6|690.8|43.6
Bellingshausen_Station|Bellingshausen Station|Antarctica|16|Antarctica|"62°12'00"" S"|"58°58'00"" W"|3|Tundra climate|83|GN|||-0.3|3.3|-3.8|702.2|
Belo_Horizonte|Belo Horizonte|South America|860|Brazil|"19°55'0.1"" S"|"43°55'59.9"" W"|2|Tropical savanna climate|84|GO|||27.1|28.8|24.6|1491.3|
Bengbu|Bengbu|North-East Asia|31|China|"32°56'26.9"" N"|"117°21'39.6"" E"|2|Humid subtropical (dry winter, wet summer) climate|85|GP|||20.3|32.1|6.5|919.8|
Benghazi|Benghazi|Africa|2|Libya|"32°7'0.1"" N"|"20°4'0.1"" E"|2|Hot semi-arid climate|86|GQ|||25.4|32.3|16.7|270|
Benxi|Benxi|North-East Asia|147|China|"41°17'19.0"" N"|"123°45'54.0"" E"|2|Humid continental (hot summer, dry winter) climate|87|GR|||13.6|28.6|-5|775.9|
Berlin|Berlin|Europe|34|Germany|"52°31'0.1"" N"|"13°24'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|88|GS|||13.4|23.7|2.9|570.7|-26
Bermuda|Bermuda|North America|15|British Overseas Territory|"32°18'0"" N"|"64°47'0"" W"|3|Tropical monsoon climate|89|GT|||24.4|29.8|19.9|1410.5|
Bhavnagar|Bhavnagar|South Asia|24|India|"21°46'0.1"" N"|"72°9'0.0"" E"|2|Hot semi-arid climate|90|GU|||33.1|39.4|27.7|593|54
Bhiwandi|Bhiwandi|South Asia|23|India|"19°18'0.0"" N"|"73°4'0.1"" E"|2|Tropical monsoon climate|91|GV|||31.3|34.4|28.6|2578|
Bhopal|Bhopal|South Asia|499|India|"23°16'0.1"" N"|"77°24'0.0"" E"|2|Humid subtropical climate|92|GW|||31.7|40.7|25.3|1123.1|46
Bhubaneswar|Bhubaneswar|South Asia|28|India|"20°13'59.9"" N"|"85°49'59.9"" E"|2|Tropical savanna climate|93|GX|||32.6|37.2|28.4|1492|46.5
Bikaner|Bikaner|South Asia|243|India|"28°1'0.1"" N"|"73°17'60.0"" E"|2|Tropical monsoon climate|94|GY|||33.8|41.7|23|310.1|47.5
Birmingham|Birmingham|Europe|140|United Kingdom of Great Britain and Northern Ireland|"52°28'0.1"" N"|"1°55'0.0"" W"|2|Oceanic climate|95|GZ|||13.4|21.3|6.7|805|-20.8
Bishkek|Bishkek|Central Asia|712|Kyrgyzstan|"42°52'23.2"" N"|"74°36'1.1"" E"|2|Continental Mediterranean climate|96|HA|||17.7|31.7|3.2|453|-34
Blantyre|Blantyre|Africa|574|Malawi|"15°46'59.9"" S"|"35°0'0.0"" E"|2|Humid subtropical (dry winter, wet summer) climate|97|HB|||27.7|31.3|23.9|896.6|
Bloemfontein|Bloemfontein|Africa|1400|South Africa|"29°7'59.9"" S"|"26°11'60.0"" E"|2|Hot desert climate|98|HC|||24.4|30.8|16.8|559|
Bogor|Bogor|South-East Asia|200|Indonesia|"6°35'23.0"" S"|"106°47'27.6"" E"|2|Tropical monsoon climate|99|HD|||26|27.2|25|1637.28|
Bombay|Bombay|South Asia|35|India|"18°58'30.0"" N"|"72°49'32.9"" E"|2|Tropical savanna climate|100|HE|||31.8|33.5|29.6|2258|
Boston|Boston|North America|10|United States of America|"42°19'59.9"" N"|"71°2'60.0"" W"|1|Humid continental (hot summer, wet all year) climate|101|HF|||14.8|27.4|2.1|1112|-28
Bouake|Bouake|Africa|313|Côte d'Ivoire|"7°40'60.0"" N"|"5°1'59.0"" W"|2|Tropical savanna climate|102|HG|||30.9|33.8|27.7|1099.9|
Brampton|Brampton|North America|213|Canada|"43°40'59.9"" N"|"79°46'0.1"" W"|2|Humid continental (mild summer, wet all year) climate|103|HH|||13|27.1|-1.5|786|50.3
Brazzaville|Brazzaville|Africa|156|Congo|"4°15'33.0"" S"|"15°17'4.9"" E"|2|Tropical monsoon climate|104|HI|||31|33|28|1358|
Bremen|Bremen|Europe|3|Germany|"53°4'59.9"" N"|"8°48'0.0"" E"|2|Oceanic climate|105|HJ|||13.2|22.6|3.9|671.3|-23.6
Bridgetown|Bridgetown|North America|1|Barbados|"13°06'21"" N"|"59°36'47"" W"|2|Tropical monsoon climate|106|HK|||30|30.6|28.8|1270.3|
Brisbane|Brisbane|South-East Asia|24|Australia|"27°30'0.0"" S"|"153°1'1.2"" E"|2|Humid subtropical / humid subtropical (dry winter, wet summer) climate|107|HL|||26.5|30.2|21.9|988|
Bristol|Bristol|Europe|47|United Kingdom of Great Britain and Northern Ireland|"51°27'0.0"" N"|"2°34'60.0"" W"|2|Oceanic climate|108|HM|||14.1|22|7.4|678|
Broome,_Western_Australia|Broome, Western Australia|South-East Asia|19|Australia|"17°57'43"" S"|"122°14'10"" E"|2|Tropical savanna climate|109|HN|||32.2|34.3|28.8|615.1|44.8
Brussels|Brussels|Europe|62|Belgium|"50°49'59.9"" N"|"4°19'60.0"" E"|1|Oceanic climate|110|HO|||14.2|23|5.7|852.8|-21.1
Bucaramanga|Bucaramanga|South America|959|Colombia|"7°7'47.0"" N"|"73°7'32.9"" W"|2|Tropical monsoon climate|111|HP|||27.6|28.2|26.9|1214.9|
Bucuresti|Bucuresti|Europe|77|Romania|"44°25'59.9"" N"|"26°6'0.0"" E"|2|Humid continental (hot summer, wet all year) climate|112|HQ|||16.5|28.8|1.5|595|-23.9
Budapest|Budapest|Europe|103|Hungary|"47°30'0.0"" N"|"19°4'59.9"" E"|2|Humid continental (mild summer, wet all year) climate|113|HR|||15.3|26.7|2.9|532|-25.6
Buenos_Aires|Buenos Aires|South America|14|Argentina|"34°35'15.0"" S"|"58°40'21.0"" W"|1|Humid subtropical climate|114|HS|||23|30.4|16|1306.3|43.3
Bulawayo|Bulawayo|Africa|1358|Zimbabwe|"20°8'60.0"" S"|"28°34'59.9"" E"|2|Humid subtropical (dry winter, wet summer) climate|115|HT|||25.6|29|21|594|
Bursa|Bursa|Central Asia|155|Turkey|"40°11'30.1"" N"|"29°3'40.0"" E"|2|Humid subtropical climate|116|HU|||20.2|30.8|9.6|702.5|43.8
Busan|Busan|North-East Asia|6|South Korea|"35°6'10.1"" N"|"129°2'24.0"" E"|2|Humid subtropical (dry winter, wet summer) / humid continental (hot summer, dry winter) climate|117|HV|||19|29.4|7.8|1519.1|
Cagayan_De_Oro|Cagayan De Oro|South-East Asia|8|Philippines|"8°28'56.0"" N"|"124°38'49.2"" E"|2|Tropical monsoon climate|118|HW|||31.1|32|30|1350.6|
Cairo|Cairo|Africa|23|Egypt|"30°3'0.0"" N"|"31°15'0.0"" E"|2|Hot desert climate|119|HX|||27.7|34.7|18.9|24.7|47.8
Calabar|Calabar|Africa|99|Nigeria|"4°57'0.0"" N"|"8°19'0.0"" E"|2|Tropical monsoon climate|120|HY|||27.3|29|25|2952|
Calcutta|Calcutta|South Asia|13|India|"22°34'10.9"" N"|"88°22'10.9"" E"|2|Tropical savanna climate|121|HZ|||31.7|35.4|26.4|1800|43.9
Calgary|Calgary|North America|1048|Canada|"51°4'59.9"" N"|"114°4'58.8"" W"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|122|IA|||10.8|23.2|-0.9|418.8|-45
Cali|Cali|South America|745|Colombia|"3°26'14.0"" N"|"76°31'21.0"" W"|2|Tropical monsoon climate|123|IB|||31.7|33|30.9|908.5|
Calicut|Calicut|South Asia|1|India|"11°15'0.0"" N"|"75°46'0.1"" E"|2|Tropical monsoon climate|124|IC|||30.4|32.8|27.9|3130.2|
Campinas|Campinas|South America|662|Brazil|"22°53'60.0"" S"|"47°4'59.9"" W"|2|Humid subtropical (dry winter, wet summer) climate|125|ID|||27.1|29.1|24|1424.5|
Campo_Grande|Campo Grande|South America|586|Brazil|"20°26'60.0"" S"|"54°37'0.1"" W"|2|Tropical savanna climate|126|IE|||28.8|30.6|26.1|1469|
Cancun|Cancun|North America|5|Mexico|"21°10'0.1"" N"|"86°49'59.9"" W"|2|Tropical savanna climate|127|IF|||31.7|34.8|28.3|1300.2|
Cangzhou|Cangzhou|North-East Asia|12|China|"38°19'0.1"" N"|"116°52'1.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|128|IG|||18.6|31.4|2.5|605|
Cape_Town|Cape Town|Africa|7|South Africa|"33°55'0.1"" S"|"18°25'0.1"" E"|2|Warm summer Mediterranean climate|129|IH|||22|26.5|17.5|515|
Casablanca|Casablanca|Africa|42|Morocco|"33°35'35.2"" N"|"7°36'59.0"" W"|2|Warm summer Mediterranean climate|130|II|||21.8|26.3|17.1|426.6|
Cebu_City|Cebu City|South-East Asia|3|Philippines|"10°18'40.0"" N"|"123°53'31.2"" E"|2|Tropical monsoon climate|131|IJ|||31.4|33|29.8|1340|
Chaiyaphum|Chaiyaphum|South-East Asia|208|Thailand|"15°48'0.0"" N"|"102°1'58.8"" E"|2|Tropical savanna climate|132|IK|||32.9|36.4|29.9|1137.2|
Chandigarh|Chandigarh|South Asia|339|India|"30°44'13.9"" N"|"76°47'13.9"" E"|2|Humid subtropical (dry winter, wet summer) / continental Mediterranean climate|133|IL|||30.4|38.6|20.4|1058.6|45.3
Changchun|Changchun|North-East Asia|200|China|"43°52'48.0"" N"|"125°19'22.8"" E"|2|Humid continental (hot summer, dry winter) / subarctic (cool summer, wet all year) climate|134|IM|||11.1|27.6|-9.8|570.4|-33
Changde|Changde|North-East Asia|35|China|"29°1'55.9"" N"|"111°40'40.8"" E"|2|Humid subtropical climate|135|IN|||21|32.9|8.3|1323.5|
Changsha|Changsha|North-East Asia|46|China|"28°10'45.1"" N"|"113°6'50.4"" E"|2|Humid subtropical climate|136|IO|||21.4|33.7|8.7|1331.3|
Changzhou|Changzhou|North-East Asia|7|China|"31°46'59.9"" N"|"119°58'1.2"" E"|2|Humid continental (hot summer, dry winter) climate|137|IP|||20|31.8|7.1|1091.4|
Charlotte|Charlotte|North America|229|United States of America|"35°13'36.8"" N"|"80°50'35.9"" W"|2|Humid subtropical climate|138|IQ|||21.6|31.7|10.4|1057.6|-21
Cheboksary|Cheboksary|Russia|74|Russian Federation|"56°7'55.9"" N"|"47°15'6.8"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|139|IR|||7.6|24.2|-9.4|538|
Chelyabinsk|Chelyabinsk|Russia|237|Russian Federation|"55°9'15.8"" N"|"61°25'46.9"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|140|IS|||8.8|25.2|-10.5|430|
Chengde|Chengde|North-East Asia|272|China|"40°46'13.1"" N"|"118°10'12.0"" E"|2|Humid continental (hot summer, dry winter) climate|141|IT|||15.8|30.1|-2.2|512|
Chengdu|Chengdu|North-East Asia|530|China|"30°40'0.1"" N"|"104°4'1.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|142|IU|||20.3|29.7|9.3|870.2|
Chiang_Mai|Chiang Mai|South-East Asia|288|Thailand|"18°47'25.1"" N"|"98°58'54.1"" E"|2|Tropical savanna climate|143|IV|||32.2|36.5|28.6|1130.6|
Chiang_Rai|Chiang Rai|South-East Asia|429|Thailand|"19°52'59.9"" N"|"99°45'0.0"" E"|2|Tropical savanna climate|144|IW|||31.1|34.8|27.2|1690.5|
Chiba,_Chiba|Chiba, Chiba|North-East Asia|2|Japan|"35°36'0.0"" N"|"140°7'1.2"" E"|2|Humid subtropical climate|145|IX|||18.9|29.9|9.1|1249.8|
Chicago|Chicago|North America|181|United States of America|"41°51'0.0"" N"|"87°39'0.0"" W"|1|Humid continental (hot summer, wet all year) climate|146|IY|||15.2|29|-0.3|993|
Chiclayo|Chiclayo|South America|1|Peru|"6°46'25.0"" S"|"79°50'30.1"" W"|2|Hot desert climate|147|IZ|||26.5|30.5|23.4|26.9|
Chisinau|Chisinau|Europe|115|Moldova, Republic of|"47°0'20.2"" N"|"28°51'27.0"" E"|2|Humid continental (hot summer, wet all year) climate|148|JA|||14.6|27.5|0.9|542|-28.9
Chittagong|Chittagong|South Asia|25|Bangladesh|"22°21'49.0"" N"|"91°48'11.9"" E"|2|Tropical monsoon climate|149|JB|||30.2|32.3|26|2919.1|
Chongqing|Chongqing|North-East Asia|265|China|"29°33'46.1"" N"|"106°33'10.8"" E"|2|Humid subtropical climate|150|JC|||22|33.6|10.3|1104.4|
Chonju|Chonju|North-East Asia|29|South Korea|"35°49'18.8"" N"|"127°8'56.4"" E"|2|Humid continental (hot summer, wet all year) / humid continental (mild summer, dry winter) climate|151|JD|||18.9|31|4.4|1313.2|
Christchurch|Christchurch|South-East Asia|7|New Zealand|"43°31'48"" S"|"172°37'13"" E"|2|Oceanic climate|152|JE|||16.8|22.4|10.7|622.9|
Chumphon|Chumphon|South-East Asia|229|Thailand|"10°30'0.0"" N"|"99°10'0.1"" E"|2|Tropical monsoon climate|153|JF|||31.9|34.5|30.1|1872.7|
Cleveland|Cleveland|North America|185|United States of America|"41°29'57.8"" N"|"81°41'44.2"" W"|2|Humid continental (hot summer, wet all year) / humid subtropical climate|154|JG|||15.3|28.1|1.3|994.1|
Cluj|Cluj|Europe|480|Romania|"46°46'0.1"" N"|"23°36'0.0"" E"|2|Humid continental (hot summer, dry winter) climate|155|JH|||13.6|24.5|0.3|548|-34.2
Cochabamba|Cochabamba|South America|2558|Bolivia|"17°22'59.9"" S"|"66°9'0.0"" W"|2|Cold semi-arid climate|156|JI|||24.5|26.1|23.3|362.7|
Coimbatore|Coimbatore|South Asia|380|India|"10°59'33.0"" N"|"76°57'41.0"" E"|2|Tropical monsoon climate|157|JJ|||32.5|36.7|29.3|616.7|
Cologne|Cologne|Europe|46|Germany|"50°55'59.9"" N"|"6°57'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|158|JK|||14.8|24.4|5.4|838.6|-23.4
Colombo|Colombo|South Asia|1|Sri Lanka|"6°55'55.0"" N"|"79°50'52.1"" E"|2|Tropical monsoon climate|159|JL|||30.6|31.8|30|2523.7|
Columbus,_Ohio|Columbus, Ohio|North America|237|United States of America|"39°57'40.0"" N"|"82°59'56.0"" W"|2|Humid subtropical / humid continental (hot summer, wet all year) climate|160|JM|||16.9|29.4|2.5|998.5|
Conakry|Conakry|Africa|324|Guinea|"9°32'6.0"" N"|"13°41'16.1"" W"|2|Tropical monsoon / tropical savanna climate|161|JN|||31.9|33.6|29.9|3784|
Copenhagen|Copenhagen|Europe|8|Denmark|"55°40'0.1"" N"|"12°34'59.9"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|162|JO|||12.2|22|3.3|643|
Córdoba,_Argentina|Córdoba, Argentina|South America|410|Argentina|"31°23'60.0"" S"|"64°10'59.9"" W"|2|Humid subtropical (dry winter, wet summer) climate|163|JP|||25.2|31.1|18.5|770.5|43.1
Cotonou|Cotonou|Africa|52|Benin|"6°20'60.0"" N"|"2°25'60.0"" E"|2|Tropical monsoon climate|164|JQ|||30.1|31.9|27.8|1308.3|
Cucuta|Cucuta|South America|308|Colombia|"7°52'60.0"" N"|"72°30'19.1"" W"|2|Tropical monsoon climate|165|JR|||31.8|33.6|29.7|863.3|
Cuiaba|Cuiaba|South America|198|Brazil|"15°34'59.9"" S"|"56°4'59.9"" W"|2|Tropical monsoon climate|166|JS|||32.6|34.1|30.7|1315.1|
Culiacan|Culiacan|North America|71|Mexico|"24°47'57.8"" N"|"107°23'24.0"" W"|2|Hot semi-arid climate|167|JT|||32.5|35.9|27.8|667.3|46
Curitiba|Curitiba|South America|914|Brazil|"25°25'0.1"" S"|"49°15'0.0"" W"|2|Subtropical highland climate|168|JU|||23.1|26.7|19.4|1483.5|
Cuttack|Cuttack|South Asia|37|India|"20°30'0.0"" N"|"85°49'59.9"" E"|2|Tropical monsoon climate|169|JV|||32.9|37.5|29|1800.3|
Da_Nang|Da Nang|South-East Asia|7|Viet Nam|"16°4'4.1"" N"|"108°13'15.6"" E"|2|Tropical monsoon climate|170|JW|||29.9|34.3|24.8|2044.5|
Dadiangas|Dadiangas|South-East Asia|10|Philippines|"6°6'46.0"" N"|"125°10'19.2"" E"|2|Tropical savanna climate|171|JX|||32.1|33.4|31|1052|
Daejeon|Daejeon|North-East Asia|44|South Korea|"36°19'17.0"" N"|"127°25'12.0"" E"|2|Humid subtropical (dry winter, wet summer) / humid continental (hot summer, dry winter) climate|172|JY|||18.4|29.8|4|1458.6|
Dakar|Dakar|Africa|10|Senegal|"14°40'14.9"" N"|"17°26'17.2"" W"|2|Hot semi-arid / tropical savanna climate|173|JZ|||27.6|30.4|24.6|494.3|
Dalian|Dalian|North-East Asia|7|China|"38°54'43.9"" N"|"121°36'7.2"" E"|2|Humid continental (hot summer, dry winter) climate|174|KA|||14.6|27.3|-0.4|601.9|
Dallas|Dallas|North America|137|United States of America|"32°46'59.9"" N"|"96°47'60.0"" W"|2|Humid subtropical climate|175|KB|||25|35.8|13.8|954.3|44.4
Damascus|Damascus|Central Asia|692|Syrian Arab Republic|"33°30'0.0"" N"|"36°17'60.0"" E"|2|Cold semi-arid climate|176|KC|||25.3|36.5|12.6|133.6|45
Dandong|Dandong|North-East Asia|1|China|"40°7'45.1"" N"|"124°23'42.0"" E"|2|Humid continental (hot summer, dry winter) climate|177|KD|||14|27.8|-2.3|925.6|
Dar_Es_Salaam|Dar Es Salaam|Africa|1|Tanzania|"6°47'60.0"" S"|"39°16'59.9"" E"|2|Tropical savanna climate|178|KE|||29.6|31|28|1066|
Darwin,_Northern_Territory|Darwin, Northern Territory|South-East Asia|31|Australia|"12°27'0"" S"|"130°50'0"" E"|2|Tropical savanna climate|179|KF|||32|33.3|30.6|1729.6|
Dasmarinas|Dasmarinas|South-East Asia|83|Philippines|"14°19'45.8"" N"|"120°56'13.2"" E"|2|Tropical savanna climate|180|KG|||30.9|33.4|29.3|1970|
Dasmarinas|Dasmarinas|South-East Asia|83|Philippines|"14°19'45.8"" N"|"120°56'13.2"" E"|2|Tropical savanna climate|181|KH|||30.9|33.4|29.3|1970|
Datong|Datong|North-East Asia|1040|China|"40°2'30.1"" N"|"113°35'49.2"" E"|2|Cold semi-arid climate|182|KI|||13.9|28.2|-3.4|371.6|
Davao_City|Davao City|South-East Asia|695|Philippines|"7°4'23.0"" N"|"125°36'46.8"" E"|2|Tropical rainforest climate|183|KJ|||31.9|33|30.9|1792.7|
Dehra_Dun|Dehra Dun|South Asia|652|India|"30°19'0.1"" N"|"78°1'59.9"" E"|2|Tropical monsoon climate|184|KK|||27.8|35.6|19.3|2208.9|43.9
Delhi|Delhi|South Asia|215|India|"28°40'0.1"" N"|"77°13'0.1"" E"|2|Humid subtropical (dry winter, wet summer) / hot semi-arid climate|185|KL|||31.2|39.2|21|790|47.2
Detroit|Detroit|North America|181|United States of America|"42°19'53.0"" N"|"83°2'44.9"" W"|2|Humid continental (hot summer, wet all year) climate|186|KM|||14.9|28.6|0|850.3|
Dhaka|Dhaka|South Asia|4|Bangladesh|"23°43'23.2"" N"|"90°24'31.0"" E"|2|Tropical monsoon climate|187|KN|||30.6|33.7|25.4|2148|
Diyarbakir|Diyarbakir|Central Asia|676|Turkey|"37°55'8.0"" N"|"40°12'38.2"" E"|2|Hot summer Mediterranean climate|188|KO|||22.6|38.4|6.7|484.9|
Dortmund|Dortmund|Europe|90|Germany|"51°31'0.1"" N"|"7°27'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|189|KP|||13.5|22|4|838|
Douala|Douala|Africa|1|Cameroon|"4°3'1.0"" N"|"9°41'60.0"" E"|2|Tropical monsoon climate|190|KQ|||30.7|32.8|27.7|3602.7|
Dras|Dras|South Asia|3230|India|"34°25'41.35"" N"|"75°45'4.25"" E"|2|Continental Mediterranean / subarctic (cool summer, dry winter) climate|191|KR|||8.9|24|-8|675.7|-46
Dresden|Dresden|Europe|111|Germany|"51°2'60.0"" N"|"13°45'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|192|KS|||13.4|24.2|2.7|664|-25.3
Dubai|Dubai|Central Asia|9|United Arab Emirates|"25°15'7.9"" N"|"55°16'48.0"" E"|1|Hot desert climate|193|KT|||33.4|41.3|24|94.3|49
Dubayy|Dubayy|Central Asia|53|United Arab Emirates|"25°15'7.9"" N"|"55°16'48.0"" E"|2|Hot desert climate|194|KU|||33.4|41.3|24|94.3|49
Dublin|Dublin|Europe|9|Ireland|"53°19'59.2"" N"|"6°14'56.0"" W"|1|Oceanic climate|195|KV|||13.8|20.2|8.8|714.4|
Duisburg|Duisburg|Europe|33|Germany|"51°25'59.9"" N"|"6°45'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|196|KW|||12.9|22|4|934.8|
Dunedin|Dunedin|South-East Asia|25|New Zealand|"45°52'0"" S"|"170°30'0"" E"|2|Oceanic climate|197|KX|||14.7|18.9|10|737.6|
Durban|Durban|Africa|23|South Africa|"29°51'0.0"" S"|"31°1'0.1"" E"|2|Humid subtropical climate|198|KY|||25.2|28|22.6|1009|
Dusseldorf|Dusseldorf|Europe|37|Germany|"51°13'0.1"" N"|"6°46'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|199|KZ|||14.8|24.3|5.6|797.6|
Easter_Island|Easter Island|South America|303|Chile|"27°7'0"" S"|"109°22'0"" W"|3|Tropical rainforest climate|200|LA|||24|27.3|21.2|1147.2|
Edinburgh|Edinburgh|Europe|152|United Kingdom of Great Britain and Northern Ireland|"55°57'0.0"" N"|"3°12'0.0"" W"|2|Oceanic climate|201|LB|||12.7|19.1|7|704.3|
Edmonton|Edmonton|North America|643|Canada|"53°32'60.0"" N"|"113°30'0.0"" W"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|202|LC|||9.3|23.1|-6|455.8|-48.3
El_Paso|El Paso|North America|1200|United States of America|"31°45'31.0"" N"|"106°29'9.6"" W"|2|Hot desert climate|203|LD|||25.3|35.3|13.9|246.7|45.6
Elazig|Elazig|Central Asia|1067|Turkey|"38°40'31.1"" N"|"39°13'14.2"" E"|2|Continental Mediterranean climate|204|LE|||19|34.3|2.9|408.9|-22.6
Enugu|Enugu|Africa|152|Nigeria|"6°25'60.0"" N"|"7°28'60.0"" E"|2|Tropical monsoon climate|205|LF|||32.3|35|30|1695|
Erzerum|Erzerum|Central Asia|1900|Turkey|"39°54'31.0"" N"|"41°16'36.8"" E"|2|Humid continental (mild summer, wet all year) climate|206|LG|||12|27.2|-4|406.1|-41
Esfahan|Esfahan|Central Asia|1590|Iran|"32°39'34.9"" N"|"51°40'17.0"" E"|2|Cold semi-arid climate|207|LH|||23|36.4|8.8|112.5|
Eskisehir|Eskisehir|Central Asia|799|Turkey|"39°46'36.1"" N"|"30°31'14.2"" E"|2|Continental Mediterranean climate|208|LI|||17.3|29.1|3.8|374.5|-27.8
Essaouira|Essaouira|Africa|415|Morocco|"31°30'47.2"" N"|"9°46'11.0"" W"|2|Warm summer Mediterranean climate|209|LJ|||20|22.1|18.1|340.6|
Essen|Essen|Europe|100|Germany|"51°27'0.0"" N"|"7°1'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|210|LK|||13.3|22.3|4.5|934.1|
Faisalabad|Faisalabad|South Asia|175|Pakistan|"31°25'0.1"" N"|"73°4'59.9"" E"|2|Hot desert climate|211|LL|||31.3|40.7|19.4|346|
Faridabad|Faridabad|South Asia|197|India|"28°25'59.9"" N"|"77°19'0.1"" E"|2|Hot semi-arid / humid subtropical climate|212|LM|||31.2|39|21|688|
Fes|Fes|Africa|582|Morocco|"34°3'10.1"" N"|"4°58'58.0"" W"|2|Hot summer Mediterranean climate|213|LN|||24.1|35.8|14.7|548.5|
Fort_McMurray|Fort McMurray|North America|370|Canada|"56°43'35"" N"|"111°22'49"" W"|3|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|214|LO|||7|23.7|-12.2|418.8|45.6
Fort_Worth|Fort Worth|North America|199|United States of America|"32°43'31.1"" N"|"97°19'14.2"" W"|2|Tropical monsoon climate|215|LP|||24.4|35.2|12.3|881.9|45
Foshan|Foshan|North-East Asia|12|China|"23°1'59.9"" N"|"113°7'1.2"" E"|2|Humid subtropical climate|216|LQ|||26.3|32.8|18.3|1736.1|
Frankfurt|Frankfurt|Europe|113|Germany|"50°7'0.1"" N"|"8°40'60.0"" E"|1|Oceanic / humid continental (mild summer, wet all year) climate|217|LR|||14.8|25.5|4.2|629.3|
Freetown|Freetown|Africa|15|Sierra Leone|"8°29'24.0"" N"|"13°14'3.1"" W"|2|Tropical monsoon / tropical savanna climate|218|LS|||29.9|31.2|28.4|2945.3|
Fresno|Fresno|North America|91|United States of America|"36°44'52.1"" N"|"119°46'15.6"" W"|2|Hot semi-arid climate|219|LT|||24.8|36.9|12.7|292.09|46.1
Fukuoka|Fukuoka|North-East Asia|14|Japan|"33°34'59.9"" N"|"130°24'0.0"" E"|2|Humid subtropical climate|220|LU|||20.6|31.6|9.8|1632.4|
Fuxin|Fuxin|North-East Asia|129|China|"42°0'56.2"" N"|"121°39'32.4"" E"|2|Humid continental (hot summer, dry winter) climate|221|LV|||14.5|29.5|-4|502.7|
Fuzhou|Fuzhou|North-East Asia|22|China|"26°3'41.0"" N"|"119°18'21.6"" E"|2|Humid subtropical climate|222|LW|||24.4|34.1|15.2|1393.5|
Garoua|Garoua|Africa|214|Cameroon|"9°18'0.0"" N"|"13°24'0.0"" E"|2|Tropical savanna climate|223|LX|||34.9|39.8|30.7|997.4|
Gaziantep|Gaziantep|Central Asia|859|Turkey|"37°3'33.8"" N"|"37°22'57.0"" E"|2|Hot summer Mediterranean climate|224|LY|||21.9|35.6|8|558.4|
Gdansk|Gdansk|Europe|15|Poland|"54°21'0.0"" N"|"18°40'0.1"" E"|2|Humid continental (mild summer, wet all year) climate|225|LZ|||10.8|22|1|499|
General_Santos_City|General Santos City|South-East Asia|15|Philippines|"6°6'46.0"" N"|"125°10'19.2"" E"|2|Tropical savanna climate|226|MA|||32.1|33.4|31|1052|
Geneve|Geneve|Europe|374|Switzerland|"46°12'0.0"" N"|"6°10'0.0"" E"|2|Oceanic climate|227|MB|||15.2|26.5|4.5|1006|
Genoa|Genoa|Europe|37|Italy|"44°25'0.1"" N"|"8°56'60.0"" E"|2|Humid subtropical / hot summer Mediterranean climate|228|MC|||18.9|27.7|11.5|1079.2|
Ghom|Ghom|Central Asia|925|Iran|"34°38'43.1"" N"|"50°52'50.9"" E"|2|Hot desert climate|229|MD|||26|40.3|10.2|148.2|47
Gizeh|Gizeh|Africa|22|Egypt|"30°0'31.0"" N"|"31°12'43.9"" E"|2|Hot desert climate|230|ME|||28.1|34.9|19.3|17|46
Glasgow|Glasgow|Europe|66|United Kingdom of Great Britain and Northern Ireland|"55°49'59.9"" N"|"4°15'0.0"" W"|2|Oceanic climate|231|MF|||12.9|19.7|6.9|1245.3|
Goiania|Goiania|South America|785|Brazil|"16°40'0.1"" S"|"49°16'0.1"" W"|2|Tropical monsoon climate|232|MG|||29.8|31.9|28.7|1571.4|
