Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Fort_Yukon,_Alaska|Fort Yukon, Alaska|North America|134|United States of America|"66° 34' 3"" N"|"145° 15' 23"" W"|2|Subarctic / subarctic (cool summer, wet all year) climate|735|AFP|||-0.6|22.9|-23.8|166.8|-61
Severnaya_Zemlya|Severnaya Zemlya|Russia|300|Russian Federation|"79° 30' 0"" N"|"97° 45' 0"" E"|2|Tundra climate|736|AFQ|||-13|2|-26|202|-46
Dudinka|Dudinka|Russia|25|Russian Federation|"69° 24' 0"" N"|"86° 11' 0"" E"|2|Subarctic (cool summer, wet all year) climate|737|AFR|||-5|19.1|-22.7|519|-56.7
Coyhaique|Coyhaique|South America|302|Chile|"45° 34' 0"" S"|"72° 4' 0"" W"|2|Oceanic climate|738|AFS|||12.6|18.9|5.3|993.5|
Puerto_Montt|Puerto Montt|South America|14|Chile|"41° 28' 0"" S"|"72° 56' 0"" W"|2|Oceanic climate|739|AFT|||14.5|19.2|9.9|1764.8|
Puerto_Aysen|Puerto Aysen|South America|11|Chile|"45° 24' 0"" S"|"72° 41' 0"" W"|2|Oceanic climate|740|AFU|||12.8|17.9|6.9|2647.1|
Valdivia,_Chile|Valdivia, Chile|South America|8|Chile|"39° 48' 50"" S"|"73° 14' 45"" W"|2|Oceanic / warm summer Mediterranean climate|741|AFV|||16.7|22.9|10.5|1787.5|
Temuco|Temuco|South America|114|Chile|"38° 45' 0"" S"|"72° 40' 0"" W"|2|Warm summer Mediterranean / oceanic climate|742|AFW|||17.4|23.8|11.3|1212.2|
Concepcion,_Chile|Concepcion, Chile|South America|12|Chile|"36° 49' 41.5"" S"|"73° 3' 4.93"" W"|2|Warm summer Mediterranean / oceanic climate|743|AFX|||17.4|22.1|12.9|1130.6|
Talca|Talca|South America|102|Chile|"35° 26' 0"" S"|"71° 40' 0"" W"|2|Hot summer Mediterranean / oceanic climate|744|AFY|||21.7|30.3|13.1|676.3|
